ID,n,a_n,Mode,Overflowed,Stop Reason
C1,0,1,Symbolic,False,completed
C1,1,2,Symbolic,False,completed
C1,2,4,Symbolic,False,completed
C1,3,8,Symbolic,False,completed
C1,4,16,Symbolic,False,completed
C1,5,32,Symbolic,False,completed
C1,6,64,Symbolic,False,completed
C1,7,128,Symbolic,False,completed
C1,8,256,Symbolic,False,completed
C1,9,512,Symbolic,False,completed
C1,10,1024,Symbolic,False,completed
C1,11,2048,Symbolic,False,completed
C1,12,4096,Symbolic,False,completed
C1,13,8192,Symbolic,False,completed
C1,14,16384,Symbolic,False,completed
C1,15,32768,Symbolic,False,completed
C1,16,65536,Symbolic,False,completed
C1,17,131072,Symbolic,False,completed
C1,18,262144,Symbolic,False,completed
C1,19,524288,Symbolic,False,completed
C1,20,1048576,Symbolic,False,completed
C1,21,2097152,Symbolic,False,completed
C1,22,4194304,Symbolic,False,completed
C1,23,8388608,Symbolic,False,completed
C1,24,16777216,Symbolic,False,completed
C1,25,33554432,Symbolic,False,completed
C1,26,67108864,Symbolic,False,completed
C1,27,134217728,Symbolic,False,completed
C1,28,268435456,Symbolic,False,completed
C1,29,536870912,Symbolic,False,completed
C1,30,1073741824,Symbolic,False,completed
C1,31,2147483648,Symbolic,False,completed
C1,32,4294967296,Symbolic,False,completed
C1,33,8589934592,Symbolic,False,completed
C1,34,17179869184,Symbolic,False,completed
C1,35,34359738368,Symbolic,False,completed
C1,36,68719476736,Symbolic,False,completed
C1,37,137438953472,Symbolic,False,completed
C1,38,274877906944,Symbolic,False,completed
C1,39,549755813888,Symbolic,False,completed
C1,40,1099511627776,Symbolic,False,completed
C1,41,2199023255552,Symbolic,False,completed
C1,42,4398046511104,Symbolic,False,completed
C1,43,8796093022208,Symbolic,False,completed
C1,44,17592186044416,Symbolic,False,completed
C1,45,35184372088832,Symbolic,False,completed
C1,46,70368744177664,Symbolic,False,completed
C1,47,140737488355328,Symbolic,False,completed
C1,48,281474976710656,Symbolic,False,completed
C1,49,562949953421312,Symbolic,False,completed
C2,0,1,Symbolic,False,completed
C2,1,5,Symbolic,False,completed
C2,2,13,Symbolic,False,completed
C2,3,29,Symbolic,False,completed
C2,4,61,Symbolic,False,completed
C2,5,125,Symbolic,False,completed
C2,6,253,Symbolic,False,completed
C2,7,509,Symbolic,False,completed
C2,8,1021,Symbolic,False,completed
C2,9,2045,Symbolic,False,completed
C2,10,4093,Symbolic,False,completed
C2,11,8189,Symbolic,False,completed
C2,12,16381,Symbolic,False,completed
C2,13,32765,Symbolic,False,completed
C2,14,65533,Symbolic,False,completed
C2,15,131069,Symbolic,False,completed
C2,16,262141,Symbolic,False,completed
C2,17,524285,Symbolic,False,completed
C2,18,1048573,Symbolic,False,completed
C2,19,2097149,Symbolic,False,completed
C2,20,4194301,Symbolic,False,completed
C2,21,8388605,Symbolic,False,completed
C2,22,16777213,Symbolic,False,completed
C2,23,33554429,Symbolic,False,completed
C2,24,67108861,Symbolic,False,completed
C2,25,134217725,Symbolic,False,completed
C2,26,268435453,Symbolic,False,completed
C2,27,536870909,Symbolic,False,completed
C2,28,1073741821,Symbolic,False,completed
C2,29,2147483645,Symbolic,False,completed
C2,30,4294967293,Symbolic,False,completed
C2,31,8589934589,Symbolic,False,completed
C2,32,17179869181,Symbolic,False,completed
C2,33,34359738365,Symbolic,False,completed
