ID,Requested Terms,Generated Terms,Runtime ms,Overflowed,Stop Reason
C5,25,25,0.0287,False,completed
C5,50,50,0.0211,False,completed
C5,100,100,0.0671,False,completed
C5,250,250,0.1437,False,completed
C5,500,500,0.3167,False,completed
C5,1000,577,0.3863,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C7,25,25,0.0429,False,completed
C7,50,50,0.0305,False,completed
C7,100,100,0.071,False,completed
C7,250,250,0.2029,False,completed
C7,500,253,0.1856,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C7,1000,253,0.1799,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C11,25,25,0.0146,False,completed
C11,50,50,0.0255,False,completed
C11,100,82,0.0389,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C11,250,82,0.0536,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C11,500,82,0.0591,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C11,1000,82,0.0339,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C12,25,25,0.0115,False,completed
C12,50,50,0.0237,False,completed
C12,100,100,0.0349,False,completed
C12,250,250,0.0903,False,completed
C12,500,500,0.2095,False,completed
C12,1000,1000,0.5159,False,completed
C13,25,11,0.0433,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,50,11,0.0102,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,100,11,0.0089,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,250,11,0.0103,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,500,11,0.0084,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,1000,11,0.0199,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C14,25,25,0.0098,False,completed
C14,50,50,0.0149,False,completed
C14,100,100,0.0367,False,completed
C14,250,250,0.0725,False,completed
C14,500,500,0.1552,False,completed
C14,1000,1000,0.3627,False,completed
